Category,Value,Order,Question,Answer
ROLLING STONE'S 500 GREATEST SONGS,$1200,15,"The most recent song on the list, at No. 180, is this duo's ""Hey Ya!""",OutKast
ROLLING STONE'S 500 GREATEST SONGS,"DD: $2,000",16,No. 89 is this 1966 hit that John Phillips came up with on a cold winter's night in Manhattan,"""California Dreamin\'"""
ROLLING STONE'S 500 GREATEST SONGS,$2000,17,"And finally... their 1976 hit with ""More Than A Feeling"" just made the list at No. 500",Boston
THE LARGEST IN AREA,$400,8,"The Caspian Sea,Lake Ladoga,Lake Baikal",the Caspian Sea
THE LARGEST IN AREA,$800,9,"Lake Ontario,Lake Michigan,Lake Huron",Lake Huron
THE LARGEST IN AREA,$1200,10,"Lake Okeechobee,Lake Champlain,Lake Mead",Lake Okeechobee
THE LARGEST IN AREA,$1600,11,"Lake Nasser,Lake Tanganyika,Lake Timsah",Lake Tanganyika
THE LARGEST IN AREA,$2000,12,"Lake Titicaca,Lake Poopo,Lake Maracaibo",Lake Maracaibo
"WORDS ""INC""",$400,6,"In bowling, it's a split of the 8 & 10 pins; it's also a city in Ohio",Cincinnati
"WORDS ""INC""",$800,7,Dial (302) 739-3073 & you can get information on how to do this in Delaware,incorporate
"WORDS ""INC""",$1200,23,Sartorial term for a policeman who doesn't wear a uniform while on duty,plainclothes
"WORDS ""INC""",$1600,24,One of the laws of this 1969 book states that people are promoted until they reach their level of incompetence,The Peter Principle
"WORDS ""INC""",$2000,25,"This saint started his own society, & a charitable society founded in Paris in 1833 was also named for him",St Vincent de Paul
____ OF THE ____,$400,1,"It was fought in the Ardennes Forest in December 1944, & by dieters everyday",the Battle of the Bulge
____ OF THE ____,$800,2,"In the King James Bible, it's the full name of the book that immediately follows the Gospels",Acts of the Apostles
____ OF THE ____,$1200,3,Future president James Polk held this congressional post from 1835 to 1839,Speaker of the House
____ OF THE ____,$1600,4,"In 1993 this musical netted 7 Tonys, including one for Chita Rivera",Kiss of the Spider Woman
____ OF THE ____,$2000,5,"They're the personal bodyguard of the British monarch, though their duties are ceremonial",the Yeomen of the Guard
"ALL ""AMERICAN""",$100,24,Europeans know this once popular rose of Madame Ferdinand Jamin,American Beauty
"ALL ""AMERICAN""",$200,25,"""Barrister"" is a quarterly publication of this organization",American Bar Association
"ALL ""AMERICAN""",$300,26,"Grant Wood's sister, who appears in this famous painting, was once a subject on ""To Tell The Truth""","""American Gothic"""
"ALL ""AMERICAN""",$400,29,The screenplay for this Gene Kelly - Leslie Caron musical was written by Alan Jay Lerner,An American in Paris
"ALL ""AMERICAN""",$500,30,"General Grant & his wife were supposed to attend this play with the Lincolns, but changed their minds",Our American Cousin
AUTHORS & THEIR WORKS,$200,1,"His famous story ""The Snows of Kilimanjaro"" was originally published in Esquire in 1936",Ernest Hemingway
AUTHORS & THEIR WORKS,$400,7,"This ""Kidnapped"" author wrote about a real journey he made in ""Travels With a Donkey in the Cevennes""",Robert Louis Stevenson
AUTHORS & THEIR WORKS,$600,16,"This ""Vanity Fair"" author's novel ""The Virginians"", is a sequel to ""Henry Esmond""",William Makepeace Thackeray
AUTHORS & THEIR WORKS,$800,17,"""Clowns' Houses"" is a book of poetry by this sister of Osbert & Sacheverell Sitwell",Edith Sitwell
AUTHORS & THEIR WORKS,$1000,18,"This Texan set her novella ""Noon Wine"" on a Texas dairy farm, not on a ""Ship of Fools""",Katherine Anne Porter
CANADA,$200,19,"Canadians celebrate Canada Day on this date, 3 days before our national holiday",July 1
CANADA,$400,20,Nanaimo & Victoria are the 2 major cities on this Pacific island known for its picturesque fjords,Vancouver Island
CANADA,$600,21,"The smallest Maritime province, it has the largest name",Prince Edward Island
CANADA,DD: $600,22,"The June 6, 1996 ""Us & Them"" comic strip wondered how many Americans could name this person, Canada's P.M.",Jean Chretien
CANADA,$1000,23,"Nunavut, currently part of this Canadian area, will become a territory itself by 1999",Northwest Territories
CROSSES,$100,15,"A crusader's white cross on a field of red, used by a canton in the 13th century, became this country's flag",Switzerland
CROSSES,$200,16,In England this game is called noughts & crosses,tic-tac-toe
CROSSES,$300,17,The Chi-Rho cross is formed from the first 2 letters of his title in Greek,Jesus
CROSSES,$400,19,The St. Andrew's cross resembles this math sign,multiplication
CROSSES,$500,20,"The Crux Ansata, a tau cross with a loop on top, is known as this to Egyptians",ankh
FASHION,$200,3,It's the part of a button-down shirt that buttons down,collar
FASHION,$400,27,"Exquisite gloves are made from this material, the leather of young goats",kid
FASHION,$600,28,"The ""little"" cocktail dress of this color has been in fashion most of the century",black
FASHION,$800,29,This term for an exaggeratedly full hairstyle can also apply to a full skirt,bouffant
FASHION,$1000,30,"This man born in Piacenza, Italy pioneered a softer, unstructured look for corporate women",Giorgio Armani
HISTORY,$200,2,"In 47 B.C. he reported to the Romans on his victory at Zela, ""Veni, Vidi, Vici""",Julius Caesar
HISTORY,$400,4,"She was ruler of Russia when it fought 2 wars against the Ottoman Empire, 1768-1774 & 1787-1791",Catherine the Great
HISTORY,$600,13,In 218 B.C. this Carthaginian defeated the Romans at the Trebia River,Hannibal
HISTORY,$800,14,In 325 he convened the Council of Nicaea to determine the divinity of Christ,Constantine
HISTORY,$1000,15,In 1821 Panama broke away from Spanish rule & became a province of this country,Colombia
NATURE,$100,1,This largest living bird may live 70 years,ostrich
NATURE,$200,2,"Species of this ""masked"" mammal include the North American & the crab-eating",raccoon
NATURE,$300,3,Most of the world's lemurs live on this island off Africa's east coast,Madagascar
NATURE,$400,7,The Harpy type of this bird lives in South American rain forests & preys on monkeys & other mammals,eagle
NATURE,$500,8,The Marco Polo variety of this mammal is so named because Marco Polo was the first to describe it,sheep
NUTRITION,$200,5,"Cooking fruits & vegetables with this appliance retains more vitamin C than steaming, baking, or broiling",microwave oven
NUTRITION,$400,6,"Clinical tests have shown this pungent bulb, allium sativum, can lower both cholesterol & blood pressure",garlic
NUTRITION,$600,8,"This trace mineral, Se, may slow down the aging process by attacking free radicals in the body",selenium
NUTRITION,$800,9,"Pyridoxine, biotin & niacin are members of this water-soluble vitamin complex",B vitamin
NUTRITION,DD: $500,10,"Abundant in spinach & broccoli, this substance must be converted to vitamin A before a body can use it",carotene
POP-ROCK,$200,11,In 1996 the Fugees had a hit with a remake of this Roberta Flack song,"""Killing Me Softly"""
POP-ROCK,$400,12,"In 1996 this Steve Perry group released ""Trial By Fire"", its first album of new material in a decade",Journey
POP-ROCK,$600,24,"The ""Twister"" soundtrack features a duet by Stevie Nicks & Lindsey Buckingham, once of this group",Fleetwood Mac
POP-ROCK,$800,25,"If you've got a ""Fast Car"", you can pick up her 1995 album ""New Beginning""",Tracy Chapman
POP-ROCK,$1000,26,"In 1995 this former lead singer for 10,000 Maniacs released her debut solo album ""Tigerlily""",Natalie Merchant
PRESIDENTS' BIRTHDAYS,$100,4,"Jimmy Carter was born October 1, 1924 in this Georgia city",Plains
PRESIDENTS' BIRTHDAYS,$200,5,"On December 28, 1856, Woodrow Wilson became the eighth president born in this state",Virginia
PRESIDENTS' BIRTHDAYS,$300,6,"The fact that the 22nd & 24th presidents share a March 18, 1837 birthday isn't odd; they're both this man",Grover Cleveland
PRESIDENTS' BIRTHDAYS,$400,27,"He was born August 20, 1833 & named for his great-grand-father, not his grandfather who was president",Benjamin Harrison
PRESIDENTS' BIRTHDAYS,$500,28,"He was born to a blacksmith's wife August 10, 1874 in West Branch, Iowa",Herbert Hoover
TELEVISION,$100,9,"This comedian's TV roles have included Alexander Scott, Dr. Cliff Huxtable & Hilton Lucas",Bill Cosby
TELEVISION,$200,18,"In a 1981 TV movie, the castaways from this series met the Harlem Globetrotters",Gilligan\'s Island
TELEVISION,$300,21,"For 3 months in 1950, this red-haired entertainer had a series on which he gave ukulele lessons",Arthur Godfrey
TELEVISION,$400,22,"On ""The Dick Van Dyke Show"", Rob Petrie was a comedy writer for this series",The Alan Brady Show
TELEVISION,$500,23,"On ""The Munsters"", it was Eddie Munster's middle name",Wolfgang
U.S. STATES,$100,10,"This ""Show-Me State"" has also been called the ""Gateway to the West""",Missouri
U.S. STATES,$200,11,About one-third of this state's industrial workers are employed in the auto industry,Michigan
U.S. STATES,DD: $500,12,"This state's lowest point, 320 feet, lies at the junction of the Wabash & the Ohio Rivers",Indiana
U.S. STATES,$400,13,Laughlin is this state's southernmost city,Nevada
U.S. STATES,$500,14,This state has 2 national monuments:  the Hagerman fossil beds & craters of the moon,Idaho
"""E"" GADS!",$400,27,"A steamboat, a condor & Chimborazo Mountain appear on this country's coat of arms",Ecuador
"""E"" GADS!",$800,28,In 1986 they became the first siblings inducted into the Rock & Roll Hall of Fame,The Everly Brothers
"""E"" GADS!",$1200,30,"Her words to Mary, ""Blessed art thou among women"", are part of the ""Hail Mary"" prayer",Elizabeth
"""E"" GADS!",$1600,29,"Meaning ""ever upward"", this Latin word is New York State's motto",excelsior
"""E"" GADS!",$2000,26,"A cure-all, or a sweetened solution of water & alcohol to help make the medicine go down",an elixir
23 SKIDOO,$200,25,"National Handwriting Day is celebrated on January 23, the birthday of this man born in 1737",Hancock
23 SKIDOO,$400,26,It's made up of 23 cantons (20 full & 6 half),Switzerland
23 SKIDOO,$600,28,"She was shot 23 times on May 23, 1934",
23 SKIDOO,$800,29,"Traditionally, the swallows begin leaving here on October 23rd",
23 SKIDOO,$1000,30,She was married to Henry VIII for 23 years,Catherine of Aragon
ART -ISMs,$200,1,"After WWI, George Grosz & Max Beckmann found comfort in this country's Expressionism",Germany
ART -ISMs,$400,2,"Suprematism, made famous by Kazimir Malevich, was this country's first pure 20th century art movement",Russia
ART -ISMs,$600,3,"This ""neo"" 18th century style of Benjamin West developed after Herculaneum & Pompeii were excavated",Neoclassicism
ART -ISMs,$800,4,"This early 19th century movement encompassed the disparate styles of Goya, Delacroix, & Constable",Romanticism
ART -ISMs,$1000,5,"From the visual medium that influenced it, the art movement Super-realism is also called this ""realism""",Photorealism
CHEERS,$200,17,"Mayday!  This ""Cheers"" star's films include ""Dad"", ""Getting Even with Dad"" & ""Three Men and a Baby""",Ted Danson
CHEERS,$400,19,"""It's a dog-eat-dog world, Sammy, & I'm wearin' milkbone underwear"", said this sedentary character",Norm
CHEERS,$600,21,"He played a bartender from Indiana on ""Cheers"" & is an ex-son-in-law of Neil Simon",Woody Harrelson
CHEERS,$800,22,"Here's the story, of this ""Cheers"" actress, who was bringing up 3 very lovely girls as Carol Brady on the big screen",Shelley Long
CHEERS,$1000,23,This actor went on to a spin-off & in 2003 said he was mulling a run for a California U.S. Senate seat,Kelsey Grammer
GRAMMAR,$400,12,"It's the part of speech omitted from the quote ""Three cheers for the red, white blue""",a conjunction
GRAMMAR,$800,18,"(Sarah of the Clue Crew reports from a classroom.)  In one type of sentence diagram, these descriptive or limiting words, like adjectives & adverbs, go under subjects & verbs",modifiers
GRAMMAR,$1200,19,"""You"" is both singular and plural but in days of yore there was this specific second-person singular form",ye (or thou or thee)
GRAMMAR,"DD: $6,000",20,"In the sentence ""Sailing is fun"", ""sailing"" is this, also called a verbal noun",a gerund
GRAMMAR,$2000,21,"It can mean a follower of Bob La Follette or a verb expressing continuing action, as in ""I am going""",a progressive
ISLAND HOPPING,$400,3,"Of 32, 62 or 132, the number of Hawaiian islands",132
ISLAND HOPPING,$800,22,"Named for the wife of George III, this country's Queen Charlotte Islands are famed for spectacular totem poles",Canada
ISLAND HOPPING,$1200,23,"Called the Ellice Islands until 1975, this Pacific nation's international Internet code is .tv",Tuvalu
ISLAND HOPPING,$1600,24,"The Dutch & French occupied this Caribbean island at the same time, so in 1648 they decided to split it",Sint Maarten
ISLAND HOPPING,"DD: $5,000",25,It's the largest island in the Mediterranean Sea that belongs to France,Corsica
KNOW YOUR CONGRESS,$400,7,Senators Harry Reid &John Ensign,Nevada
KNOW YOUR CONGRESS,$800,8,Rep. Rob Bishop &Sen. Orrin Hatch,Utah
KNOW YOUR CONGRESS,$1200,9,Rep. J. Gresham Barrett &Sen. Lindsey Graham,South Carolina
KNOW YOUR CONGRESS,$1600,10,Sen. Barbara Mikulski &Rep. Roscoe G. Bartlett,Maryland
KNOW YOUR CONGRESS,$2000,11,Rep. Richard Baker &Sen. Mary Landrieu,Louisiana
LEGAL LINGO,$200,8,"You don't need to prove a civil case beyond a reasonable doubt; just have ""the preponderance of"" this on your side",evidence
LEGAL LINGO,$400,9,"In California, this type of theft applies to goods worth over $400, or artichokes worth over $100",grand (theft)
LEGAL LINGO,$600,13,"The judicial principle stare decisis means an older, similar case, called this, should guide the current decision",precedent
LEGAL LINGO,"DD: $1,000",14,"The 5th Amendment clause known by this 2-word name protects you from the feds; the one in the 14th, from the states",due process
LEGAL LINGO,$1000,15,"An obvious conclusion of negligence falls under the doctrine res ipsa locquitur, ""the thing"" does this",speaks for itself
LITERARY QUOTES,$200,6,"In this novel Starbuck tells the crew, ""I came to hunt whales, not my commander's vengeance""",Moby-Dick
LITERARY QUOTES,$400,7,"""I am Heathcliff"" is a line from this 1847 novel",Wuthering Heights
LITERARY QUOTES,$600,10,"Portia: ""Then must the Jew be merciful""; Shylock: ""On what compulsion must I?...""; Portia: this famous line",
LITERARY QUOTES,$800,11,"5-word ""monthly"" statement that begins ""The Waste Land""",April is the cruelest month
LITERARY QUOTES,$1000,12,"His ""Locksley Hall"" contains the line ""In the spring a young man's fancy lightly turns to thoughts of love""",Lord Tennyson
MOVIE SONGS,$400,1,"""Stayin' Alive""(1977)",Saturday Night Fever
MOVIE SONGS,$800,2,"""I Will Always Love You""(1992)",The Bodyguard
MOVIE SONGS,$1200,4,"""Born To Be Wild""(1969)",Easy Rider
MOVIE SONGS,$1600,5,"""You Will Be My Ain True Love""(2003)",Cold Mountain
MOVIE SONGS,$2000,6,"""Tiny Dancer""(2000)",Almost Famous
SING A SONG OF SIX PACKS,$200,16,"After the repeal of prohibition, this company immediately dispatched a case of High Life to the President",Miller
SING A SONG OF SIX PACKS,$400,18,"""I... love"" this light beer with my mate, begun in '78, ""& those twee-ins!""",Coors (Light)
SING A SONG OF SIX PACKS,$600,20,In 2002 this Missouri-based company sold over 100 million barrels of beer in the U.S.,Anheuser-Busch
SING A SONG OF SIX PACKS,$800,24,"New brews from this ""revolutionary"" American brand include Utopias & Chocolate Bock",Sam Adams
SING A SONG OF SIX PACKS,$1000,27,"One theory why ""33"" is on this beer's label is that Latrobe Brewing has 33 recipes for beer & it is number 33",Rolling Rock
THE '60s,$400,13,"In May 1960 the FDA approved Enovid, a drug for women that soon became known by this simple name",the pill
THE '60s,$800,14,"An executive order dated Nov. 29, 1963 created this investigative body",the Warren Commission
THE '60s,$1200,15,"(Jimmy of the Clue Crew reports from Aswan, Egypt.)  On January 9, 1960, this man set off 10 tons of dynamite to start construction of the Aswan High Dam",Nasser
THE '60s,$1600,16,The USSR vetoed a 1968 Sec. Council resolution ordering the withdrawal of foreign troops from this nation,Czechoslovakia
THE '60s,$2000,17,"The military men who took over Greece in 1967 were collectively known as these, the rank many of them held",the Colonels
AIRPORT CODES,$100,26,SYD,Sydney
AIRPORT CODES,$200,27,AMS,Amsterdam
AIRPORT CODES,$300,28,"SVO, also known as Sheremetyevo",Moscow
AIRPORT CODES,$400,29,"DUS, in the FRG",Dusseldorf (Germany)
AIRPORT CODES,DD: $600,30,"MAN, 160 miles from LHR",
ASTRONOMY,$200,2,Astronomers divide the sky into 88 of these star groups,constellations
ASTRONOMY,$400,3,"In 1705 he announced that the comets of 1531, 1607, & 1682 were the same comet",Edmond Halley
ASTRONOMY,$600,4,"At about 600 miles in diameter, Ceres is the largest first discovered of these minor planets",asteroids
ASTRONOMY,$800,5,"A galactic cloud of dust & gas, its name comes from the Latin for ""cloud""",nebula
ASTRONOMY,$1000,1,"In the ""Almagest"", this 2nd century Greek astronomer suggested the Earth was the center of the universe",Ptolemy
COOKING,$100,23,The device for doing this to flour is basically a cup with a mesh screen,sifting
COOKING,$200,24,The soup of these split vegetables is popular in the Middle East as well as in colder areas,peas/beans
COOKING,$300,8,"If you don't want to break this dish used to make aspic or pudding, use one of metal, not ceramic",mold/bowl
COOKING,$400,9,"The name of these tiny dumplings served as a side dish means ""little sparrow"" in German",spaetzle
COOKING,$500,25,"The name of this consomme flavored with tomato juice comes from ""Madrid""",madrilene
COUNTRIES,$200,6,It's the smaller of the 2 countries on the Iberian Peninsula,Portugal
COUNTRIES,$400,7,Prince Albert I founded this tiny principality's Musee Oceanographique in 1910,Monaco
COUNTRIES,$600,8,"This small country in the Pyrenees uses the money of its neighbors, France & Spain",Andorra
COUNTRIES,$800,9,"This country's supreme court is in Sucre, not in La Paz",Bolivia
COUNTRIES,$1000,10,"Founded as an Egyptian army camp in the 1820s, Khartoum is now the capital of this country",Sudan
EXPLORERS,$200,16,"Through his writings, this Venetian gives us a description of Kublai Khan & his palace at Shang-Tu",Marco Polo
EXPLORERS,$400,17,"While scaling Mount Everest in April 1953, Tenzing Norgay rescued this man who had fallen into a crevasse",Sir Edmund Hillary
EXPLORERS,"DD: $3,500",18,In 1769 he & the crew of the Endeavour built Fort Venus on Matavai Bay in Tahiti,Sir James Cook (Captain Cook)
EXPLORERS,$800,19,"The Gjoa, this 20th C. Norwegian's ship, was exhibited in San Francisco 1906-1972, when it was returned to Oslo",Roald Amundsen
EXPLORERS,$1000,20,In 1642 this Dutchman was commissioned to find the Great Southern Continent,Abel Tasman
INTERNATIONAL POTPOURRI,$100,14,"The name of this religion of Haiti is derived from a Dahomean word for ""spirit""",voodoo
INTERNATIONAL POTPOURRI,$200,10,"Bratislava, the capital of Slovakia, lies on this ""Beautiful Blue"" river",Danube
INTERNATIONAL POTPOURRI,$300,15,The concept of Tapu---sacredness---is sacred to these indigenous people of New Zealand,Maori
INTERNATIONAL POTPOURRI,$400,16,It's the seductive ballroom dance most associated with Buenos Aires,tango
INTERNATIONAL POTPOURRI,$500,17,"Kiunguja, which is spoken in Zanzibar, is a dialect of this African Bantu language",Swahili
MYTHOLOGY,$100,1,"According to tradition, Zeus' home was on this mountain on the Thessaly/Macedonia border",Mount Olympus
MYTHOLOGY,$200,3,"One account had her opening a jar, not a box, but she still shuts it before hope escapes",Pandora
MYTHOLOGY,$300,4,Asterius was the real name of this bull-headed creature,the Minotaur
MYTHOLOGY,$400,5,"After Zeus mated with Leda, disguised as this bird, Castor & Pollux were born in an egg",swan
MYTHOLOGY,$500,2,She & Athena had a weaving contest,Arachne
NOVELS & NOVELISTS,$100,6,"D'Artagnan is the swashbuckling hero of this author's ""The Three Musketeers""",Alexandre Dumas
NOVELS & NOVELISTS,$200,7,"He's scared readers with such popular novels as ""It"", ""Carrie"" & ""The Stand""",Stephen King
NOVELS & NOVELISTS,$300,11,"This British author wrote ""The War in the Air"" as well as ""The War of the Worlds""",H.G. Wells
NOVELS & NOVELISTS,$400,12,"He died in 1924 without completing ""The Trial"" & ""The Castle""",Franz Kafka
NOVELS & NOVELISTS,$500,13,"1943's ""Magister Ludi"", or ""The Glass Bead Game"", was the last novel by this German author",Hermann Hesse
QUOTATIONS,$200,11,"""Slow and steady wins the race"" is a well-known moral from one of his fables",Aesop
QUOTATIONS,$400,12,"He wrote, ""My name is Sherlock Holmes, it is my business to know what other people don't know""",Sir Arthur Conan Doyle
QUOTATIONS,$600,13,"This ancient Chinese philosopher said, ""When you have faults, do not fear to abandon them""",Confucius
QUOTATIONS,$800,14,"Among his last words at the battle of Trafalgar were ""Thank God, I have done my duty""",Lord Nelson
QUOTATIONS,$1000,15,"In ""The Social Contract"" he wrote, ""Man was born free and he is everywhere in chains""",Jean-Jacques Rousseau
THE OSCARS,$100,18,"It's ""clear"" he's the perfect choice to host the Oscars; since 1990, he's done it 5 times",Billy Crystal
THE OSCARS,$200,19,"This superstar & Cuba Gooding, Jr. were both nominated for ""Jerry Maguire""; Cuba won",Tom Cruise
THE OSCARS,$300,20,Best actress Frances McDormand played a pregnant cop in this film named for a North Dakota city,Fargo
THE OSCARS,$400,21,"This Frenchwoman was surprised to win for ""The English Patient""; she thought Lauren Bacall deserved it",Juliette Binoche
THE OSCARS,$500,22,"This pianist made a surprise appearance on the show, & Geoffrey Rush won for playing him in ""Shine""",David Helfgott
TOUGH STUFF,$200,26,The Pied Piper led these 2 groups out of Hamelin,rats & children
TOUGH STUFF,$400,28,"In 1910 Georges Claude created these lights, now popular in Las Vegas & Piccadilly Circus",neon lights
TOUGH STUFF,$600,27,The Holland type of this liquor first made in Holland is usually drunk straight,gin
TOUGH STUFF,$800,29,In 1930 he officially changed the name of Constantinople to Istanbul,Kemal Ataturk
TOUGH STUFF,$1000,30,This northern Tanzania national park is twice the size of Yellowstone,Serengeti
WORLD FAMOUS,$200,25,Opera composer Renzo Rossellini was the brother of this film director,Roberto Rossellini
WORLD FAMOUS,$400,24,"This beautiful figure skater was once called ""The Brooke Shields of East Germany""",Katarina Witt
WORLD FAMOUS,"DD: $2,000",23,U.S. president seen here,George H.W. Bush
WORLD FAMOUS,$800,22,"Once a star of the Kirov Ballet, this man, nicknamed Misha, now tours with the White Oak Dance Project",Mikhail Baryshnikov
WORLD FAMOUS,$1000,21,"Some of this U.S. pop artist's silkscreens are in a museum in Slovakia, near his parents' birthplace",Andy Warhol
ACTORS & ACTRESSES,$100,6,His original name was Carl Adolf Von Sydow,Max Von Sydow
ACTORS & ACTRESSES,$200,7,"Before he played ""Dirty Harry"", he made a name for himself as the ""Man With No Name"" in Sergio Leone westerns",Clint Eastwood
ACTORS & ACTRESSES,$300,8,"He played Michael Corleone in all 3 of Francis Ford Coppola's ""Godfather"" films",Al Pacino
ACTORS & ACTRESSES,$400,9,"This star of ""Schindler's List"" used to drive a forklift in Belfast",Liam Neeson
ACTORS & ACTRESSES,$500,10,"In her 1997 autobiography, she writes of her mariage at age 21 to Frank Sinatra, who was 50",Mia Farrow
AUTHORS,$200,1,"His ""Voyages Extraordinaires"" include one ""From the Earth to the Moon"" & one ""To the Center of the Earth""",Jules Verne
AUTHORS,$400,2,"She met poet Percy in the spring of 1814, eloped to France with him in July & married him in 1816",Mary Shelley
AUTHORS,$600,3,"This author of ""The Son of the Wolf"" & ""The Sea-Wolf"" called his home ""Wolf House""",Jack London
AUTHORS,$800,4,"He began writing the ""Aeneid"" around 29 B.C. & it was still unfinished at his death in 19 B.C.",Virgil
AUTHORS,$1000,5,This creator of Tevye the Dairyman is known as the Jewish Mark Twain,Sholem Aleichem
BODIES OF WATER,$200,26,"The ""blue"" branch of this river rises in the Ethiopian highlands",Nile
BODIES OF WATER,$400,27,Pas de Calais is the French name for this strait between France & England,Strait of Dover
BODIES OF WATER,$600,28,"Albania lies on the eastern shore of this sea, an arm of the Mediterranean",Adriatic
BODIES OF WATER,$800,29,Lake Toba on Sumatra is this country's largest lake,Indonesia
BODIES OF WATER,"DD: $2,000",30,The Dnestr & Vistula rivers rise in these mountains,Carpathians
COMPOSERS,$200,8,"This American wrote ""Rhapsody in Blue"" in 1924 & ""Second Rhapsody"" in 1931",George Gershwin
COMPOSERS,$400,15,"His father Leopold called him ""The miracle which God let be born in Salzburg""",W.A. Mozart
COMPOSERS,$600,17,"This Norwegian ""Peer Gynt Suite"" composer married his first cousin, singer Nina Hagerup, in 1867",Edward Grieg
COMPOSERS,$800,20,"This German Baroque composer wrote his ""Hunt Cantata"" for the birthday of the Duke of Saxe-Weissenfels",J.S. Bach
COMPOSERS,$1000,21,"He composed his ""Moravian Duets"" before he moved to the U.S. & wrote his ""New World Symphony""",Antonin Dvorak
FOREIGN ANATOMY,$100,1,"An average Dutch person has twee en dertig, 32, of these, tanden",teeth
FOREIGN ANATOMY,$200,2,"A German woman may pluck these, her augenbrauen",eyebrows
FOREIGN ANATOMY,$300,3,"If a Japanese isha (doctor) asks you to stick out your shita, he means this",
FOREIGN ANATOMY,$400,4,"This body part is as plain as a burun on a Turk's yuz, his face",nose
FOREIGN ANATOMY,$500,5,"To get to the heart of the matter, it's Spanish for ""heart""",Corazon
HISTORY,$100,11,A potato famine during the 1840s caused this island's population to decline by about 2 million,Ireland
HISTORY,$200,12,The Treaty of Versailles ended this war & set up the League of Nations,World War I
HISTORY,$300,13,Hernando Cortes conquered the Aztecs & Francisco Pizarro conquered this Indian empire,Incan
HISTORY,$400,14,"By the end of his reign in 1786, Frederick the Great doubled this kingdom's area",Prussia
HISTORY,$500,15,In 1977 this Ugandan leader survived at least one assassination attempt & 2 attempted coups,Idi Amin
INTERNATIONAL SIGNS & SYMBOLS,$100,16,"(Big white ""H"" on a blue background)",Hospital
INTERNATIONAL SIGNS & SYMBOLS,$200,17,(Giant marsupial with a pouch in the middle of a yellow sign),"""Careful -  Kangaroo Crossing"""
INTERNATIONAL SIGNS & SYMBOLS,$300,18,(White rectangle in middle of a red dot),"""No Entrance"""
INTERNATIONAL SIGNS & SYMBOLS,$400,19,(Table symbol on a brown square),"""Picnic Area"""
INTERNATIONAL SIGNS & SYMBOLS,$500,20,"(Pair of up & down arrows above drawings of man & woman, on a blue square)",Elevator
MUSEUMS,$100,21,The Bata Shoe Museum in Toronto features a pair of black silk socks worn by this emperor on St. Helena,Napoleon
MUSEUMS,$200,22,It's Spain's national museum of painting & sculpture,The Prado
MUSEUMS,$300,23,"The National Museum of American History is just one part of this Washington, D.C. institution",Smithsonian
MUSEUMS,$400,24,The Museo Numismatico in Lima contains coins from this country from colonial times to the present,Peru
MUSEUMS,$500,25,"The setting for ""Hamlet"", Kronberg Castle in this Danish town now houses a maritime museum",Helsingborg
SCIENCE & NATURE,$200,6,"Skiers in late spring might thank Ukichiro Nakaya, who pioneered the artificial creation of this",snow
SCIENCE & NATURE,$400,7,"A branch of geology studies these ice masses, which formed the Svealand area where we're taping ""Jeopardy!""",glaciers
SCIENCE & NATURE,$600,9,"In one of these areas, the tops of the trees are collectively called the canopy",rain forest
SCIENCE & NATURE,$800,10,"In the physics of sound or on the ocean, it's the distance from crest to crest",wavelength
SCIENCE & NATURE,"DD: $2,000",11,"These theorized subatomic particles take their name from James Joyce's ""Finnegans Wake""",quarks
THE OLYMPIC GAMES,$200,12,"At the opening ceremony, athletes from this country march into the stadium first",Greece
THE OLYMPIC GAMES,$400,13,A little birdie told us that in 1996 Poul-Erik Hoyer-Larsen of Denmark won the gold in this racket sport,badminton
THE OLYMPIC GAMES,$600,14,Bob Mathias & Daley Thompson are the only men to win this 10-event track & field contest twice,decathlon
THE OLYMPIC GAMES,$800,16,The Soviet Union & this country have won more gold medals in ice hockey than any others,Canada
THE OLYMPIC GAMES,$1000,18,"With 6 medals, this Russian gymnast was the most decorated athlete of the Atlanta games",Alexei Nemov
TRANSPORTATION,$100,26,"The elevated tracks of the ""People Mover"" move people around this American ""Motor City""",Detroit
TRANSPORTATION,$200,27,"Kanmon Tunnel, the world's first under an ocean, connects the island of Kyushu with this island",Honshu
TRANSPORTATION,$300,28,"An ""underground city"" connects the subway with downtown offices & shopping in this largest Quebec city",Montreal
TRANSPORTATION,$400,29,"It's a chair carried on poles by porters, or a car with 4 doors",sedan
TRANSPORTATION,"DD: $2,000",30,"This consortium of European aircraft makers is headquartered near Toulouse, France",Airbus
WORLD CURRENCY,$200,19,In December 1995 Venezuela devalued by 41% this currency named for its liberator,Bolivar
WORLD CURRENCY,$400,22,The aluminum & bronze schilling coin of this country is equivalent to 100 groschen,Austria
WORLD CURRENCY,$600,23,This country's 1996 2-dollar coin features Queen Elizabeth on one side & a polar bear on the other,Canada
WORLD CURRENCY,$800,24,"It takes about 22,500 of these Belarussian monetary units to equal 1 American dollar",rubles
WORLD CURRENCY,$1000,25,The monetary systems of Nepal & India use this basic unit,rupee
"""EPI""SODES",$200,1,A fast-spreading outbreak of a disease,an epidemic
"""EPI""SODES",$400,2,A short section at the end of a book,an epilogue
"""EPI""SODES",$600,3,"From the Greek for ""seizure"", it's a medical condition involving abnormal electrical brain activity",epilepsy
"""EPI""SODES",$800,4,A witty saying or expression,an epigram
